GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Has a computer:,Margin of Error; Has a computer:,Estimate; Has a computer: - With dial-up Internet subscription alone,Margin of Error; Has a computer: - With dial-up Internet subscription alone,Estimate; Has a computer: - With a broadband Internet subscription,Margin of Error; Has a computer: - With a broadband Internet subscription,Estimate; Has a computer: - Without an Internet subscription,Margin of Error; Has a computer: - Without an Internet subscription,Estimate; No computer,Margin of Error; No computer
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",220,80,109,45,0,11,109,45,0,11,111,79
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",765,81,485,110,0,11,294,102,191,82,280,96
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",315,125,262,111,0,11,154,73,108,96,53,60
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",942,189,715,175,0,11,552,179,163,117,227,142
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",703,154,432,113,0,11,296,109,136,95,271,137
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",603,151,400,137,0,11,292,116,108,81,203,123
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",871,144,772,142,0,11,577,126,195,137,99,54
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",659,225,332,171,0,11,317,169,15,30,327,207
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",907,244,539,211,29,48,403,204,107,106,368,162
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",286,139,109,83,0,11,109,83,0,11,177,115
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",412,180,130,96,0,11,130,96,0,11,282,162
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",861,186,673,188,0,11,428,186,245,168,188,90
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",973,207,740,242,0,11,495,210,245,189,233,170
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",4322,373,4312,375,0,16,4200,402,112,102,10,35
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",462,159,318,105,11,18,230,106,77,70,144,125
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",491,126,363,95,0,11,343,93,20,33,128,114
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",586,127,362,135,0,11,236,113,126,92,224,104
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",822,165,603,144,0,11,574,149,29,47,219,100
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",797,177,370,109,0,11,342,107,28,33,427,176
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",493,159,216,124,0,11,175,103,41,63,277,127
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",851,72,837,70,0,11,783,66,54,43,14,22
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",799,46,701,60,0,11,482,73,219,76,98,48
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",719,175,413,130,0,11,216,109,197,116,306,163
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",635,201,202,105,0,11,138,91,64,69,433,192
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",1114,236,804,223,0,11,299,123,505,211,310,151
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",785,90,478,91,0,11,361,81,117,56,307,75
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",506,90,383,89,0,11,244,67,139,83,123,66
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",584,83,491,86,0,11,365,74,126,83,93,62
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",1188,188,1188,188,0,11,1125,171,63,71,0,11
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",1385,178,1385,178,0,11,1338,184,47,53,0,11
1500000US360610014011,360610014011,"Block Group 1, Census Tract 14.01, New York County, New York",790,84,604,92,0,11,535,100,69,59,186,66
1500000US360610014012,360610014012,"Block Group 2, Census Tract 14.01, New York County, New York",817,98,726,105,0,11,665,106,61,39,91,44
1500000US360610014021,360610014021,"Block Group 1, Census Tract 14.02, New York County, New York",804,102,554,92,0,11,430,93,124,65,250,71
1500000US360610014022,360610014022,"Block Group 2, Census Tract 14.02, New York County, New York",589,79,440,80,0,11,325,79,115,48,149,65
1500000US360610015010,360610015010,"Block Group 0, Census Tract 15.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015011,360610015011,"Block Group 1, Census Tract 15.01, New York County, New York",1345,218,1345,218,0,11,1345,218,0,11,0,11
1500000US360610015012,360610015012,"Block Group 2, Census Tract 15.01, New York County, New York",1741,232,1507,241,37,42,1344,239,126,104,234,124
1500000US360610015013,360610015013,"Block Group 3, Census Tract 15.01, New York County, New York",653,171,412,128,0,11,412,128,0,11,241,132
1500000US360610015020,360610015020,"Block Group 0, Census Tract 15.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610015021,360610015021,"Block Group 1, Census Tract 15.02, New York County, New York",1165,157,1106,161,0,11,1022,148,84,83,59,69
1500000US360610015022,360610015022,"Block Group 2, Census Tract 15.02, New York County, New York",1970,206,1970,206,0,11,1890,211,80,66,0,11
1500000US360610015023,360610015023,"Block Group 3, Census Tract 15.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610016001,360610016001,"Block Group 1, Census Tract 16, New York County, New York",1013,131,619,144,0,11,492,134,127,98,394,134
1500000US360610016002,360610016002,"Block Group 2, Census Tract 16, New York County, New York",309,96,191,90,0,11,159,89,32,36,118,94
1500000US360610016003,360610016003,"Block Group 3, Census Tract 16, New York County, New York",609,178,474,175,0,11,350,145,124,118,135,102
