GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07
Id,Id2,Geography,Estimate; Total:,Estimate; Native:,Estimate; Native: - Allocated,Estimate; Native: - Not allocated,Estimate; Foreign born:,Estimate; Foreign born: - Allocated,Estimate; Foreign born: - Not allocated
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,0,0,0,0,0,0
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,0,0,0,0,0,0
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",435,9,1,8,426,5,421
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",758,163,18,145,595,78,517
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,0,0,0,0,0,0
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",288,33,0,33,255,5,250
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",992,232,37,195,760,252,508
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",626,100,0,100,526,69,457
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",550,225,49,176,325,0,325
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",532,92,0,92,440,17,423
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,0,0,0,0,0,0
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,0,0,0,0,0,0
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,0,0,0,0,0,0
1500000US360610006000,360610006000,"Block Group 0, Census Tract 6, New York County, New York",0,0,0,0,0,0,0
1500000US360610006001,360610006001,"Block Group 1, Census Tract 6, New York County, New York",1224,33,0,33,1191,481,710
1500000US360610006002,360610006002,"Block Group 2, Census Tract 6, New York County, New York",1367,131,23,108,1236,153,1083
1500000US360610006003,360610006003,"Block Group 3, Census Tract 6, New York County, New York",613,0,0,0,613,185,428
1500000US360610006004,360610006004,"Block Group 4, Census Tract 6, New York County, New York",868,32,0,32,836,160,676
1500000US360610006005,360610006005,"Block Group 5, Census Tract 6, New York County, New York",1251,233,0,233,1018,154,864
1500000US360610006006,360610006006,"Block Group 6, Census Tract 6, New York County, New York",1329,31,0,31,1298,228,1070
1500000US360610007000,360610007000,"Block Group 0, Census Tract 7, New York County, New York",0,0,0,0,0,0,0
1500000US360610007001,360610007001,"Block Group 1, Census Tract 7, New York County, New York",2487,230,30,200,2257,155,2102
1500000US360610007002,360610007002,"Block Group 2, Census Tract 7, New York County, New York",0,0,0,0,0,0,0
1500000US360610008000,360610008000,"Block Group 0, Census Tract 8, New York County, New York",0,0,0,0,0,0,0
1500000US360610008001,360610008001,"Block Group 1, Census Tract 8, New York County, New York",931,36,0,36,895,161,734
1500000US360610008002,360610008002,"Block Group 2, Census Tract 8, New York County, New York",899,0,0,0,899,338,561
1500000US360610008003,360610008003,"Block Group 3, Census Tract 8, New York County, New York",1477,72,0,72,1405,444,961
1500000US360610008004,360610008004,"Block Group 4, Census Tract 8, New York County, New York",1148,29,13,16,1119,262,857
1500000US360610008005,360610008005,"Block Group 5, Census Tract 8, New York County, New York",1038,11,11,0,1027,165,862
1500000US360610008006,360610008006,"Block Group 6, Census Tract 8, New York County, New York",940,56,35,21,884,265,619
1500000US360610009000,360610009000,"Block Group 0, Census Tract 9, New York County, New York",0,0,0,0,0,0,0
1500000US360610009001,360610009001,"Block Group 1, Census Tract 9, New York County, New York",525,22,0,22,503,52,451
1500000US360610009002,360610009002,"Block Group 2, Census Tract 9, New York County, New York",0,0,0,0,0,0,0
1500000US360610010010,360610010010,"Block Group 0, Census Tract 10.01, New York County, New York",0,0,0,0,0,0,0
1500000US360610010011,360610010011,"Block Group 1, Census Tract 10.01, New York County, New York",280,94,7,87,186,22,164
1500000US360610010020,360610010020,"Block Group 0, Census Tract 10.02, New York County, New York",0,0,0,0,0,0,0
1500000US360610010021,360610010021,"Block Group 1, Census Tract 10.02, New York County, New York",506,224,34,190,282,84,198
1500000US360610010022,360610010022,"Block Group 2, Census Tract 10.02, New York County, New York",777,471,69,402,306,22,284
1500000US360610010023,360610010023,"Block Group 3, Census Tract 10.02, New York County, New York",1148,435,14,421,713,40,673
1500000US360610012001,360610012001,"Block Group 1, Census Tract 12, New York County, New York",938,195,14,181,743,70,673
1500000US360610012002,360610012002,"Block Group 2, Census Tract 12, New York County, New York",292,141,66,75,151,11,140
1500000US360610012003,360610012003,"Block Group 3, Census Tract 12, New York County, New York",387,89,0,89,298,113,185
1500000US360610013001,360610013001,"Block Group 1, Census Tract 13, New York County, New York",751,125,26,99,626,44,582
1500000US360610013002,360610013002,"Block Group 2, Census Tract 13, New York County, New York",773,41,0,41,732,33,699
