GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US360610001001,360610001001,"Block Group 1, Census Tract 1, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002010,360610002010,"Block Group 0, Census Tract 2.01, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002011,360610002011,"Block Group 1, Census Tract 2.01, New York County, New York",324,100,38,43,33,28,25,39,59,57,25,29,0,11,0,11,0,11,41,37,18,22,47,50,18,31,0,11,8,15,0,11,12,16
1500000US360610002012,360610002012,"Block Group 2, Census Tract 2.01, New York County, New York",603,101,133,79,54,35,106,53,54,44,40,40,41,39,26,23,21,24,14,16,53,62,18,20,18,21,25,40,0,11,0,11,0,11
1500000US360610002020,360610002020,"Block Group 0, Census Tract 2.02, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610002021,360610002021,"Block Group 1, Census Tract 2.02, New York County, New York",283,111,30,38,33,43,11,22,101,94,15,23,40,36,0,11,18,31,0,11,0,11,0,11,0,11,35,53,0,11,0,11,0,11
1500000US360610002022,360610002022,"Block Group 2, Census Tract 2.02, New York County, New York",721,148,178,94,31,38,36,45,35,42,81,84,95,73,20,33,34,44,17,31,33,35,69,68,78,62,14,22,0,11,0,11,0,11
1500000US360610002023,360610002023,"Block Group 3, Census Tract 2.02, New York County, New York",855,175,249,121,105,85,74,72,127,111,77,71,20,32,97,79,0,11,32,51,59,49,0,11,15,24,0,11,0,11,0,11,0,11
1500000US360610002024,360610002024,"Block Group 4, Census Tract 2.02, New York County, New York",677,180,121,64,130,94,0,11,62,79,113,79,0,11,28,43,0,11,55,88,38,58,80,99,27,45,23,33,0,11,0,11,0,11
1500000US360610002025,360610002025,"Block Group 5, Census Tract 2.02, New York County, New York",911,148,67,56,12,19,43,40,30,34,0,11,95,78,41,54,43,49,61,77,0,11,134,103,0,11,174,111,71,69,41,39,99,71
1500000US360610005000,360610005000,"Block Group 0, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005001,360610005001,"Block Group 1, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1500000US360610005002,360610005002,"Block Group 2, Census Tract 5, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
